Source Name	Comment [rna_tube]	Comment [sample_name]	Comment [organism]	Protocol REF	Parameter [rna_extraction]	Extract Name	Comment [rna_id]	Comment [Material Type]	Comment [comment_on_rna]	Protocol REF	Comment [lsid]	Parameter [library_protocol]	Library Name	Comment [library_id]	Protocol REF	Parameter [sequence_protocol]	Parameter [machine_name]	Parameter [run_name]	Parameter [flowcell.channel]	File Name	Comment [sequence_raw_file]	Protocol REF	Parameter [sex]	File Name
12183-129A5	12183-129A5	Whole blood (ribopure), donor090612, donation2	Homo sapiens	standard whole cell	standard whole cell	12183-129A5.rna	12183-129A5.rna	total RNA	comment:Sample category:"FANTOM5 update November1"; cell lot:"090612-03";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:6.9; A260A280:2.01; A260A230:2.23	OP-Illumina-Directional_RNA_seq-single_end-v0.6	880	OP-Illumina-Directional_RNA_seq-single_end-v0.6	RDhi10004	RDhi10004	OP-HiSeq2000-sequencing-cBot-v1.0	OP-HiSeq2000-sequencing-cBot-v1.0	NA	NA	NA	/sequencedata/Hiseq2000/110510_SN419_0100_A81FKLABXX/	/sequencedata/Hiseq2000/110510_SN419_0100_A81FKLABXX/	tophat	female	Whole%20blood%20%28ribopure%29%2c%20donor090612%2c%20donation2.RDhi10004.12183-129A5.hg19.nobarcode.bam
12184-129A6	12184-129A6	Whole blood (ribopure), donor090612, donation3	Homo sapiens	standard whole cell	standard whole cell	12184-129A6.rna	12184-129A6.rna	total RNA	comment:Sample category:"FANTOM5 update November1"; cell lot:"090612-04";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:1.87; A260A230:2.22	OP-Illumina-Directional_RNA_seq-single_end-v0.6	880	OP-Illumina-Directional_RNA_seq-single_end-v0.6	RDhi10005	RDhi10005	OP-HiSeq2000-sequencing-cBot-v1.0	OP-HiSeq2000-sequencing-cBot-v1.0	NA	NA	NA	/sequencedata/Hiseq2000/110510_SN419_0100_A81FKLABXX/	/sequencedata/Hiseq2000/110510_SN419_0100_A81FKLABXX/	tophat	female	Whole%20blood%20%28ribopure%29%2c%20donor090612%2c%20donation3.RDhi10005.12184-129A6.hg19.nobarcode.bam
12189-129B2	12189-129B2	CD19+ B Cells (pluriselect), donor090309, donation1	Homo sapiens	standard whole cell	standard whole cell	12189-129B2.rna	12189-129B2.rna	total RNA	comment:Sample category:"FANTOM5 update November1"; cell lot:"090309-02";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:1.98; A260A230:0.73	OP-Illumina-Directional_RNA_seq-single_end-v0.6	881	OP-Illumina-Directional_RNA_seq-single_end-v0.6	RDhi10007	RDhi10007	OP-HiSeq2000-sequencing-cBot-v1.0	OP-HiSeq2000-sequencing-cBot-v1.0	NA	NA	NA	/sequencedata/Hiseq2000/110510_SN419_0101_B81FKJABXX/	/sequencedata/Hiseq2000/110510_SN419_0101_B81FKJABXX/	tophat	female	CD19%2b%20B%20Cells%20%28pluriselect%29%2c%20donor090309%2c%20donation1.RDhi10007.12189-129B2.hg19.nobarcode.bam
12194-129B7	12194-129B7	CD19+ B Cells (pluriselect), donor090309, donation2	Homo sapiens	standard whole cell	standard whole cell	12194-129B7.rna	12194-129B7.rna	total RNA	comment:Sample category:"FANTOM5 update November1"; cell lot:"090309-03";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:1.98; A260A230:0.78	OP-Illumina-Directional_RNA_seq-single_end-v0.6	881	OP-Illumina-Directional_RNA_seq-single_end-v0.6	RDhi10008	RDhi10008	OP-HiSeq2000-sequencing-cBot-v1.0	OP-HiSeq2000-sequencing-cBot-v1.0	NA	NA	NA	/sequencedata/Hiseq2000/110510_SN419_0101_B81FKJABXX/	/sequencedata/Hiseq2000/110510_SN419_0101_B81FKJABXX/	tophat	female	CD19%2b%20B%20Cells%20%28pluriselect%29%2c%20donor090309%2c%20donation2.RDhi10008.12194-129B7.hg19.nobarcode.bam
12199-129C3	12199-129C3	CD19+ B Cells (pluriselect), donor090309, donation3	Homo sapiens	standard whole cell	standard whole cell	12199-129C3.rna	12199-129C3.rna	total RNA	comment:Sample category:"FANTOM5 update November1"; cell lot:"090309-04";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:1.99; A260A230:1.37	OP-Illumina-Directional_RNA_seq-single_end-v0.6	881	OP-Illumina-Directional_RNA_seq-single_end-v0.6	RDhi10009	RDhi10009	OP-HiSeq2000-sequencing-cBot-v1.0	OP-HiSeq2000-sequencing-cBot-v1.0	NA	NA	NA	/sequencedata/Hiseq2000/110510_SN419_0101_B81FKJABXX/	/sequencedata/Hiseq2000/110510_SN419_0101_B81FKJABXX/	tophat	female	CD19%2b%20B%20Cells%20%28pluriselect%29%2c%20donor090309%2c%20donation3.RDhi10009.12199-129C3.hg19.nobarcode.bam
12204-129C8	12204-129C8	CD19+ B Cells (pluriselect), donor090612, donation1	Homo sapiens	standard whole cell	standard whole cell	12204-129C8.rna	12204-129C8.rna	total RNA	comment:Sample category:"FANTOM5 update November1"; cell lot:"090612-02";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:2.01; A260A230:1.35	OP-Illumina-Directional_RNA_seq-single_end-v0.6	881	OP-Illumina-Directional_RNA_seq-single_end-v0.6	RDhi10010	RDhi10010	OP-HiSeq2000-sequencing-cBot-v1.0	OP-HiSeq2000-sequencing-cBot-v1.0	NA	NA	NA	/sequencedata/Hiseq2000/110510_SN419_0101_B81FKJABXX/	/sequencedata/Hiseq2000/110510_SN419_0101_B81FKJABXX/	tophat	female	CD19%2b%20B%20Cells%20%28pluriselect%29%2c%20donor090612%2c%20donation1.RDhi10010.12204-129C8.hg19.nobarcode.bam
12209-129D4	12209-129D4	CD19+ B Cells (pluriselect), donor090612, donation2	Homo sapiens	standard whole cell	standard whole cell	12209-129D4.rna	12209-129D4.rna	total RNA	comment:Sample category:"FANTOM5 update November1"; cell lot:"090612-03";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:1.98; A260A230:0.64	OP-Illumina-Directional_RNA_seq-single_end-v0.6	881	OP-Illumina-Directional_RNA_seq-single_end-v0.6	RDhi10011	RDhi10011	OP-HiSeq2000-sequencing-cBot-v1.0	OP-HiSeq2000-sequencing-cBot-v1.0	NA	NA	NA	/sequencedata/Hiseq2000/110510_SN419_0101_B81FKJABXX/	/sequencedata/Hiseq2000/110510_SN419_0101_B81FKJABXX/	tophat	female	CD19%2b%20B%20Cells%20%28pluriselect%29%2c%20donor090612%2c%20donation2.RDhi10011.12209-129D4.hg19.nobarcode.bam
12214-129D9	12214-129D9	CD19+ B Cells (pluriselect), donor090612, donation3	Homo sapiens	standard whole cell	standard whole cell	12214-129D9.rna	12214-129D9.rna	total RNA	comment:Sample category:"FANTOM5 update November1"; cell lot:"090612-04";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:1.94; A260A230:1.54	OP-Illumina-Directional_RNA_seq-single_end-v0.6	881	OP-Illumina-Directional_RNA_seq-single_end-v0.6	RDhi10012	RDhi10012	OP-HiSeq2000-sequencing-cBot-v1.0	OP-HiSeq2000-sequencing-cBot-v1.0	NA	NA	NA	/sequencedata/Hiseq2000/110510_SN419_0101_B81FKJABXX/	/sequencedata/Hiseq2000/110510_SN419_0101_B81FKJABXX/	tophat	female	CD19%2b%20B%20Cells%20%28pluriselect%29%2c%20donor090612%2c%20donation3.RDhi10012.12214-129D9.hg19.nobarcode.bam
12186-129A8	12186-129A8	CD8+ T Cells (pluriselect), donor090309, donation1	Homo sapiens	standard whole cell	standard whole cell	12186-129A8.rna	12186-129A8.rna	total RNA	comment:Sample category:"FANTOM5 update November1"; cell lot:"090309-02";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:2.03; A260A230:1.49	OP-Illumina-Directional_RNA_seq-single_end-v0.6	882	OP-Illumina-Directional_RNA_seq-single_end-v0.6	RDhi10014	RDhi10014	OP-HiSeq2000-sequencing-cBot-v1.0	OP-HiSeq2000-sequencing-cBot-v1.0	NA	NA	NA	/sequencedata/Hiseq2000/110510_SN549_0021_A81FLGABXX/	/sequencedata/Hiseq2000/110510_SN549_0021_A81FLGABXX/	tophat	female	CD8%2b%20T%20Cells%20%28pluriselect%29%2c%20donor090309%2c%20donation1.RDhi10014.12186-129A8.hg19.nobarcode.bam
12191-129B4	12191-129B4	CD8+ T Cells (pluriselect), donor090309, donation2	Homo sapiens	standard whole cell	standard whole cell	12191-129B4.rna	12191-129B4.rna	total RNA	comment:Sample category:"FANTOM5 update November1"; cell lot:"090309-03";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:1.95; A260A230:1.1	OP-Illumina-Directional_RNA_seq-single_end-v0.6	882	OP-Illumina-Directional_RNA_seq-single_end-v0.6	RDhi10015	RDhi10015	OP-HiSeq2000-sequencing-cBot-v1.0	OP-HiSeq2000-sequencing-cBot-v1.0	NA	NA	NA	/sequencedata/Hiseq2000/110510_SN549_0021_A81FLGABXX/	/sequencedata/Hiseq2000/110510_SN549_0021_A81FLGABXX/	tophat	female	CD8%2b%20T%20Cells%20%28pluriselect%29%2c%20donor090309%2c%20donation2.RDhi10015.12191-129B4.hg19.nobarcode.bam
12196-129B9	12196-129B9	CD8+ T Cells (pluriselect), donor090309, donation3	Homo sapiens	standard whole cell	standard whole cell	12196-129B9.rna	12196-129B9.rna	total RNA	comment:Sample category:"FANTOM5 update November1"; cell lot:"090309-04";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:1.88; A260A230:1.12	OP-Illumina-Directional_RNA_seq-single_end-v0.6	882	OP-Illumina-Directional_RNA_seq-single_end-v0.6	RDhi10016	RDhi10016	OP-HiSeq2000-sequencing-cBot-v1.0	OP-HiSeq2000-sequencing-cBot-v1.0	NA	NA	NA	/sequencedata/Hiseq2000/110510_SN549_0021_A81FLGABXX/	/sequencedata/Hiseq2000/110510_SN549_0021_A81FLGABXX/	tophat	female	CD8%2b%20T%20Cells%20%28pluriselect%29%2c%20donor090309%2c%20donation3.RDhi10016.12196-129B9.hg19.nobarcode.bam
12201-129C5	12201-129C5	CD8+ T Cells (pluriselect), donor090612, donation1	Homo sapiens	standard whole cell	standard whole cell	12201-129C5.rna	12201-129C5.rna	total RNA	comment:Sample category:"FANTOM5 update November1"; cell lot:"090612-02";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:1.97; A260A230:1.63	OP-Illumina-Directional_RNA_seq-single_end-v0.6	882	OP-Illumina-Directional_RNA_seq-single_end-v0.6	RDhi10017	RDhi10017	OP-HiSeq2000-sequencing-cBot-v1.0	OP-HiSeq2000-sequencing-cBot-v1.0	NA	NA	NA	/sequencedata/Hiseq2000/110510_SN549_0021_A81FLGABXX/	/sequencedata/Hiseq2000/110510_SN549_0021_A81FLGABXX/	tophat	female	CD8%2b%20T%20Cells%20%28pluriselect%29%2c%20donor090612%2c%20donation1.RDhi10017.12201-129C5.hg19.nobarcode.bam
12206-129D1	12206-129D1	CD8+ T Cells (pluriselect), donor090612, donation2	Homo sapiens	standard whole cell	standard whole cell	12206-129D1.rna	12206-129D1.rna	total RNA	comment:Sample category:"FANTOM5 update November1"; cell lot:"090612-03";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:2.02; A260A230:1.21	OP-Illumina-Directional_RNA_seq-single_end-v0.6	882	OP-Illumina-Directional_RNA_seq-single_end-v0.6	RDhi10018	RDhi10018	OP-HiSeq2000-sequencing-cBot-v1.0	OP-HiSeq2000-sequencing-cBot-v1.0	NA	NA	NA	/sequencedata/Hiseq2000/110510_SN549_0021_A81FLGABXX/	/sequencedata/Hiseq2000/110510_SN549_0021_A81FLGABXX/	tophat	female	CD8%2b%20T%20Cells%20%28pluriselect%29%2c%20donor090612%2c%20donation2.RDhi10018.12206-129D1.hg19.nobarcode.bam
12211-129D6	12211-129D6	CD8+ T Cells (pluriselect), donor090612, donation3	Homo sapiens	standard whole cell	standard whole cell	12211-129D6.rna	12211-129D6.rna	total RNA	comment:Sample category:"FANTOM5 update November1"; cell lot:"090612-04";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:1.93; A260A230:1.13	OP-Illumina-Directional_RNA_seq-single_end-v0.6	882	OP-Illumina-Directional_RNA_seq-single_end-v0.6	RDhi10019	RDhi10019	OP-HiSeq2000-sequencing-cBot-v1.0	OP-HiSeq2000-sequencing-cBot-v1.0	NA	NA	NA	/sequencedata/Hiseq2000/110510_SN549_0021_A81FLGABXX/	/sequencedata/Hiseq2000/110510_SN549_0021_A81FLGABXX/	tophat	female	CD8%2b%20T%20Cells%20%28pluriselect%29%2c%20donor090612%2c%20donation3.RDhi10019.12211-129D6.hg19.nobarcode.bam
